,model,epochs,batch_size,accuracy,decision_method,Nft,nmel
0,CNN,10,32,0.0,Naive,128,10
1,CNN,10,32,0.0,Majority,128,10
2,CNN,10,32,0.0,Weighted,128,10
3,CNN,10,32,90.70833333333334,MaxLikelihood,128,10
4,CNN,10,32,0.0,Naive,128,15
5,CNN,10,32,0.0,Majority,128,15
6,CNN,10,32,0.0,Weighted,128,15
7,CNN,10,32,92.84615384615385,MaxLikelihood,128,15
8,CNN,10,32,0.0,Naive,128,20
9,CNN,10,32,0.0,Majority,128,20
10,CNN,10,32,0.0,Weighted,128,20
11,CNN,10,32,94.00961538461539,MaxLikelihood,128,20
12,CNN,10,32,0.0,Naive,128,25
13,CNN,10,32,0.0,Majority,128,25
14,CNN,10,32,0.0,Weighted,128,25
15,CNN,10,32,91.95833333333333,MaxLikelihood,128,25
16,CNN,10,32,0.0,Naive,128,30
17,CNN,10,32,0.0,Majority,128,30
18,CNN,10,32,0.0,Weighted,128,30
19,CNN,10,32,92.49358974358974,MaxLikelihood,128,30
20,CNN,10,32,0.0,Naive,256,10
21,CNN,10,32,0.0,Majority,256,10
22,CNN,10,32,0.0,Weighted,256,10
23,CNN,10,32,84.6698717948718,MaxLikelihood,256,10
24,CNN,10,32,0.0,Naive,256,15
25,CNN,10,32,0.0,Majority,256,15
26,CNN,10,32,0.0,Weighted,256,15
27,CNN,10,32,89.53205128205127,MaxLikelihood,256,15
28,CNN,10,32,0.0,Naive,256,20
29,CNN,10,32,0.0,Majority,256,20
30,CNN,10,32,0.0,Weighted,256,20
31,CNN,10,32,92.59294871794872,MaxLikelihood,256,20
32,CNN,10,32,0.0,Naive,256,25
33,CNN,10,32,0.0,Majority,256,25
34,CNN,10,32,0.0,Weighted,256,25
35,CNN,10,32,90.98717948717947,MaxLikelihood,256,25
36,CNN,10,32,0.0,Naive,256,30
37,CNN,10,32,0.0,Majority,256,30
38,CNN,10,32,0.0,Weighted,256,30
39,CNN,10,32,94.52564102564102,MaxLikelihood,256,30
40,CNN,10,32,0.0,Naive,512,10
41,CNN,10,32,0.0,Majority,512,10
42,CNN,10,32,0.0,Weighted,512,10
43,CNN,10,32,62.907051282051285,MaxLikelihood,512,10
44,CNN,10,32,0.0,Naive,512,15
45,CNN,10,32,0.0,Majority,512,15
46,CNN,10,32,0.0,Weighted,512,15
47,CNN,10,32,70.25641025641025,MaxLikelihood,512,15
48,CNN,10,32,0.0,Naive,512,20
49,CNN,10,32,0.0,Majority,512,20
50,CNN,10,32,0.0,Weighted,512,20
51,CNN,10,32,81.0,MaxLikelihood,512,20
52,CNN,10,32,0.0,Naive,512,25
53,CNN,10,32,0.0,Majority,512,25
54,CNN,10,32,0.0,Weighted,512,25
55,CNN,10,32,88.50961538461539,MaxLikelihood,512,25
56,CNN,10,32,0.0,Naive,512,30
57,CNN,10,32,0.0,Majority,512,30
58,CNN,10,32,0.0,Weighted,512,30
59,CNN,10,32,90.07051282051282,MaxLikelihood,512,30
60,CNN,10,32,0.0,Naive,1024,10
61,CNN,10,32,0.0,Majority,1024,10
62,CNN,10,32,0.0,Weighted,1024,10
63,CNN,10,32,70.40064102564102,MaxLikelihood,1024,10
64,CNN,10,32,0.0,Naive,1024,15
65,CNN,10,32,0.0,Majority,1024,15
66,CNN,10,32,0.0,Weighted,1024,15
67,CNN,10,32,79.20192307692307,MaxLikelihood,1024,15
68,CNN,10,32,0.0,Naive,1024,20
69,CNN,10,32,0.0,Majority,1024,20
70,CNN,10,32,0.0,Weighted,1024,20
71,CNN,10,32,75.75961538461539,MaxLikelihood,1024,20
72,CNN,10,32,0.0,Naive,1024,25
73,CNN,10,32,0.0,Majority,1024,25
74,CNN,10,32,0.0,Weighted,1024,25
75,CNN,10,32,80.08653846153847,MaxLikelihood,1024,25
76,CNN,10,32,0.0,Naive,1024,30
77,CNN,10,32,0.0,Majority,1024,30
78,CNN,10,32,0.0,Weighted,1024,30
79,CNN,10,32,82.15064102564102,MaxLikelihood,1024,30
80,CNN,10,32,0.0,Naive,2048,10
81,CNN,10,32,0.0,Majority,2048,10
82,CNN,10,32,0.0,Weighted,2048,10
83,CNN,10,32,50.75,MaxLikelihood,2048,10
84,CNN,10,32,0.0,Naive,2048,15
85,CNN,10,32,0.0,Majority,2048,15
86,CNN,10,32,0.0,Weighted,2048,15
87,CNN,10,32,65.4326923076923,MaxLikelihood,2048,15
88,CNN,10,32,0.0,Naive,2048,20
89,CNN,10,32,0.0,Majority,2048,20
90,CNN,10,32,0.0,Weighted,2048,20
91,CNN,10,32,69.3974358974359,MaxLikelihood,2048,20
92,CNN,10,32,0.0,Naive,2048,25
93,CNN,10,32,0.0,Majority,2048,25
94,CNN,10,32,0.0,Weighted,2048,25
95,CNN,10,32,71.53846153846155,MaxLikelihood,2048,25
96,CNN,10,32,0.0,Naive,2048,30
97,CNN,10,32,0.0,Majority,2048,30
98,CNN,10,32,0.0,Weighted,2048,30
99,CNN,10,32,76.17307692307692,MaxLikelihood,2048,30
